player,score,mentions,note,gameweek
Gabriel,5.0,11,"Near-universal premium defender pick: official Scout must-have, Scout Selection, FFScout watchlist and expert-draft consensus.",2
Joao Pedro,5.0,12,Scored and assisted as Chelsea beat Fulham 3-2 in Gameweek 1; now a leading captaincy shout for Gameweek 2 at home to Brighton.,2
Szoboszlai,4.9,11,"Confirmed as Liverpool's set-piece focal point in Gameweek 1 — both corners, direct and indirect free-kicks, and the penalty now Salah has left the club. That monopoly on dead-ball duties keeps him one of the standout mid-price picks.",2
Bruno Fernandes,4.8,12,"Blanked in Gameweek 1 alongside Haaland as Man Utd lost 2-0 at Hull, but still one of the two default captaincy names for Gameweek 2 at home to Ipswich; corner and penalty duties are unaffected.",2
Haaland,4.8,12,"Also blanked in Gameweek 1, but still the most-backed armband pick for Gameweek 2 against Crystal Palace; underlying chance volume stayed strong even without a goal.",2
Kinsky,4.7,8,"Very strong budget consensus; appears repeatedly in expert drafts, FFScout value rankings and official Scout budget/squad guidance.",2
Maguire,4.7,8,"Strong GW1-2 fixtures, set-piece threat and defensive-contribution upside; recurring expert-draft pick.",2
Mbeumo,4.6,10,"Man Utd suffered a shock 2-0 opening loss at Hull, but Mbeumo kept his advanced role throughout; the visit of Ipswich in Gameweek 2 is widely seen as a strong bounce-back fixture.",2
Calvert-Lewin,4.6,8,Template/value forward in FFScout watchlist and numerous expert drafts; attractive price and proven scoring routes.,2
Semenyo,4.6,8,"High-upside premium-mid option with strong pre-season role; appears frequently in rankings, expert drafts and shortlists.",2
Palmer,4.6,8,Part of a free-scoring Chelsea front three in their 3-2 Gameweek 1 win over Fulham alongside Joao Pedro; an increasingly competitive Chelsea attack to captain from into Gameweek 2.,2
De Cuyper,4.6,6,"Standout of Gameweek 1: a goal, an assist, a clean sheet and a big bonus haul in an advanced left-wing role as Brighton beat Aston Villa 4-0; also on a share of set pieces. One of the first price risers of the season, though that price rise is itself a reason for some caution against simply chasing the result.",2
Raya,4.5,6,"Premium Arsenal route; top of FFScout goalkeeper watchlist and prominent in official/Hub guidance. Strong floor, price the main objection.",2
Gross,4.4,7,Outstanding budget-mid consensus: penalties plus corners/free-kicks and repeated value-guide support.,2
Gvardiol,4.4,6,Strong projected points and premium-upside case; frequently appears in rankings and template drafts.,2
Lammens,4.4,5,Strong early fixtures and value case; repeatedly highlighted by FFScout/Hub as a mid-priced alternative.,2
Isak,4.4,7,"Returned from an injury-hit 2025/26 with a goal and an assist in Liverpool's final pre-season friendly against Monaco, and starts this season at a noticeably lower price than last year — one of the Scout's tipped Gameweek 1 breakout picks.",2
Shaw,4.3,7,Very popular £4.5m route into Man Utd's opening fixtures; repeatedly appears in expert drafts and budget guides.,2
Saka,4.3,5,Premium quality and captaincy ceiling; less universal GW1 consensus because Bruno/Haaland structures dominate.,2
